timestamp_iso,status_code,latency_ms,error
2026-09-08T19:19:41.139575+00:00,201,45.388,
2026-09-08T19:19:41.185107+00:00,201,25.404,
2026-09-08T19:19:41.186989+00:00,201,31.949,
2026-09-08T19:19:41.210525+00:00,201,20.005,
2026-09-08T19:19:41.218943+00:00,201,18.29,
2026-09-08T19:19:41.230543+00:00,201,19.581,
2026-09-08T19:19:41.237242+00:00,201,21.453,
2026-09-08T19:19:41.237561+00:00,201,24.649,
2026-09-08T19:19:41.250132+00:00,201,18.234,
2026-09-08T19:19:41.258704+00:00,201,17.537,
2026-09-08T19:19:41.262216+00:00,201,18.569,
2026-09-08T19:19:41.268375+00:00,201,17.318,
2026-09-08T19:19:41.276250+00:00,201,17.113,
2026-09-08T19:19:41.280791+00:00,201,17.454,
2026-09-08T19:19:41.285700+00:00,201,18.108,
2026-09-08T19:19:41.286972+00:00,201,18.656,
2026-09-08T19:19:41.293372+00:00,201,19.849,
2026-09-08T19:19:41.298252+00:00,201,18.533,
2026-09-08T19:19:41.303813+00:00,201,17.371,
2026-09-08T19:19:41.305634+00:00,201,17.664,
2026-09-08T19:19:41.313228+00:00,201,16.532,
2026-09-08T19:19:41.316791+00:00,201,18.019,
2026-09-08T19:19:41.321191+00:00,201,18.043,
2026-09-08T19:19:41.323303+00:00,201,18.001,
2026-09-08T19:19:41.329768+00:00,201,17.078,
2026-09-08T19:19:41.334818+00:00,201,25.357,
2026-09-08T19:19:41.337049+00:00,201,26.701,
2026-09-08T19:19:41.339241+00:00,201,25.552,
2026-09-08T19:19:41.341309+00:00,201,28.386,
2026-09-08T19:19:41.346858+00:00,201,27.719,
2026-09-08T19:19:41.360184+00:00,201,21.706,
2026-09-08T19:19:41.363758+00:00,201,24.468,
2026-09-08T19:19:41.364799+00:00,201,26.313,
2026-09-08T19:19:41.369701+00:00,201,26.33,
2026-09-08T19:19:41.374589+00:00,201,27.578,
2026-09-08T19:19:41.381899+00:00,201,27.267,
2026-09-08T19:19:41.388236+00:00,201,26.456,
2026-09-08T19:19:41.391120+00:00,201,25.014,
2026-09-08T19:19:41.387115+00:00,201,30.154,
2026-09-08T19:19:41.396040+00:00,201,22.595,
2026-09-08T19:19:41.402180+00:00,201,19.777,
2026-09-08T19:19:41.409175+00:00,201,16.538,
2026-09-08T19:19:41.414699+00:00,201,19.116,
2026-09-08T19:19:41.416141+00:00,201,18.528,
2026-09-08T19:19:41.417279+00:00,201,20.067,
2026-09-08T19:19:41.418649+00:00,201,20.303,
2026-09-08T19:19:41.421972+00:00,201,20.127,
2026-09-08T19:19:41.425723+00:00,201,19.546,
2026-09-08T19:19:41.433825+00:00,201,18.764,
2026-09-08T19:19:41.434677+00:00,201,18.737,
2026-09-08T19:19:41.437352+00:00,201,18.677,
2026-09-08T19:19:41.437751+00:00,201,21.359,
2026-09-08T19:19:41.438957+00:00,201,20.935,
2026-09-08T19:19:41.442105+00:00,201,19.878,
2026-09-08T19:19:41.445275+00:00,201,18.475,
2026-09-08T19:19:41.453420+00:00,201,16.58,
2026-09-08T19:19:41.452597+00:00,201,18.139,
2026-09-08T19:19:41.456036+00:00,201,16.493,
2026-09-08T19:19:41.459115+00:00,201,18.6,
2026-09-08T19:19:41.459896+00:00,201,18.553,
2026-09-08T19:19:41.461990+00:00,201,17.345,
2026-09-08T19:19:41.463756+00:00,201,17.461,
2026-09-08T19:19:41.470005+00:00,201,17.768,
2026-09-08T19:19:41.470744+00:00,201,17.762,
2026-09-08T19:19:41.472536+00:00,201,17.377,
2026-09-08T19:19:41.477721+00:00,201,19.076,
2026-09-08T19:19:41.478454+00:00,201,19.127,
2026-09-08T19:19:41.479340+00:00,201,18.995,
2026-09-08T19:19:41.481222+00:00,201,17.901,
2026-09-08T19:19:41.487779+00:00,201,21.386,
2026-09-08T19:19:41.488510+00:00,201,22.218,
2026-09-08T19:19:41.489919+00:00,201,22.409,
2026-09-08T19:19:41.487353+00:00,201,25.771,
2026-09-08T19:19:41.496804+00:00,201,25.733,
2026-09-08T19:19:41.498340+00:00,201,24.958,
2026-09-08T19:19:41.497586+00:00,201,26.43,
2026-09-08T19:19:41.499128+00:00,201,25.558,
2026-09-08T19:19:41.510734+00:00,201,22.455,
2026-09-08T19:19:41.509178+00:00,201,24.769,
2026-09-08T19:19:41.512334+00:00,201,22.273,
2026-09-08T19:19:41.513130+00:00,201,22.495,
2026-09-08T19:19:41.522544+00:00,201,20.81,
2026-09-08T19:19:41.523303+00:00,201,20.846,
2026-09-08T19:19:41.524691+00:00,201,20.15,
2026-09-08T19:19:41.524020+00:00,201,21.56,
2026-09-08T19:19:41.533197+00:00,201,19.524,
2026-09-08T19:19:41.533962+00:00,201,20.192,
2026-09-08T19:19:41.534613+00:00,201,20.307,
2026-09-08T19:19:41.535632+00:00,201,20.021,
2026-09-08T19:19:41.537176+00:00,201,20.995,
2026-09-08T19:19:41.544846+00:00,201,18.217,
2026-09-08T19:19:41.543365+00:00,201,20.435,
2026-09-08T19:19:41.544154+00:00,201,20.444,
2026-09-08T19:19:41.545585+00:00,201,19.772,
2026-09-08T19:19:41.552729+00:00,201,17.428,
2026-09-08T19:19:41.554159+00:00,201,18.833,
2026-09-08T19:19:41.555657+00:00,201,18.921,
2026-09-08T19:19:41.554925+00:00,201,20.529,
2026-09-08T19:19:41.558176+00:00,201,19.152,
2026-09-08T19:19:41.563067+00:00,201,19.775,
2026-09-08T19:19:41.564606+00:00,201,19.271,
2026-09-08T19:19:41.563810+00:00,201,20.764,
2026-09-08T19:19:41.565361+00:00,201,20.012,
2026-09-08T19:19:41.570181+00:00,201,19.715,
2026-09-08T19:19:41.572998+00:00,201,18.984,
2026-09-08T19:19:41.574583+00:00,201,19.993,
2026-09-08T19:19:41.575459+00:00,201,20.42,
2026-09-08T19:19:41.577333+00:00,201,22.487,
2026-09-08T19:19:41.582850+00:00,201,23.099,
2026-09-08T19:19:41.583882+00:00,201,25.783,
2026-09-08T19:19:41.584579+00:00,201,25.909,
2026-09-08T19:19:41.585377+00:00,201,26.173,
2026-09-08T19:19:41.589902+00:00,201,24.78,
2026-09-08T19:19:41.594580+00:00,201,23.526,
2026-09-08T19:19:41.587238+00:00,201,32.987,
2026-09-08T19:19:41.599825+00:00,201,21.283,
2026-09-08T19:19:41.591988+00:00,201,29.779,
2026-09-08T19:19:41.595884+00:00,201,27.729,
2026-09-08T19:19:41.605959+00:00,201,21.478,
2026-09-08T19:19:41.610493+00:00,201,20.791,
2026-09-08T19:19:41.609671+00:00,201,22.631,
2026-09-08T19:19:41.611560+00:00,201,21.603,
2026-09-08T19:19:41.614690+00:00,201,20.39,
2026-09-08T19:19:41.618114+00:00,201,21.111,
2026-09-08T19:19:41.620232+00:00,201,22.566,
2026-09-08T19:19:41.621772+00:00,201,21.936,
2026-09-08T19:19:41.621114+00:00,201,23.45,
2026-09-08T19:19:41.623618+00:00,201,21.789,
2026-09-08T19:19:41.627446+00:00,201,21.586,
2026-09-08T19:19:41.631290+00:00,201,21.802,
2026-09-08T19:19:41.632309+00:00,201,21.572,
2026-09-08T19:19:41.633173+00:00,201,21.689,
2026-09-08T19:19:41.635088+00:00,201,21.254,
2026-09-08T19:19:41.637367+00:00,201,23.788,
2026-09-08T19:19:41.639232+00:00,201,23.05,
2026-09-08T19:19:41.642805+00:00,201,23.078,
2026-09-08T19:19:41.643713+00:00,201,22.96,
2026-09-08T19:19:41.644569+00:00,201,22.974,
2026-09-08T19:19:41.645413+00:00,201,23.103,
2026-09-08T19:19:41.649040+00:00,201,20.886,
2026-09-08T19:19:41.653099+00:00,201,21.642,
2026-09-08T19:19:41.653886+00:00,201,21.81,
2026-09-08T19:19:41.654867+00:00,201,21.689,
2026-09-08T19:19:41.656347+00:00,201,20.96,
2026-09-08T19:19:41.661163+00:00,201,21.352,
2026-09-08T19:19:41.662289+00:00,201,21.417,
2026-09-08T19:19:41.665890+00:00,201,21.167,
2026-09-08T19:19:41.666678+00:00,201,24.246,
2026-09-08T19:19:41.667547+00:00,201,24.331,
2026-09-08T19:19:41.668525+00:00,201,23.818,
2026-09-08T19:19:41.669933+00:00,201,23.309,
2026-09-08T19:19:41.674749+00:00,201,23.103,
2026-09-08T19:19:41.675701+00:00,201,23.601,
2026-09-08T19:19:41.676561+00:00,201,23.754,
2026-09-08T19:19:41.677313+00:00,201,23.556,
2026-09-08T19:19:41.683711+00:00,201,20.797,
2026-09-08T19:19:41.682522+00:00,201,23.005,
2026-09-08T19:19:41.687064+00:00,201,21.293,
2026-09-08T19:19:41.687519+00:00,201,23.233,
2026-09-08T19:19:41.690930+00:00,201,22.173,
2026-09-08T19:19:41.692352+00:00,201,21.738,
2026-09-08T19:19:41.691884+00:00,201,23.11,
2026-09-08T19:19:41.693247+00:00,201,22.677,
2026-09-08T19:19:41.697860+00:00,201,22.671,
2026-09-08T19:19:41.700320+00:00,201,22.039,
2026-09-08T19:19:41.700874+00:00,201,22.308,
2026-09-08T19:19:41.699307+00:00,201,24.822,
2026-09-08T19:19:41.704515+00:00,201,22.123,
2026-09-08T19:19:41.705535+00:00,201,22.231,
2026-09-08T19:19:41.708364+00:00,201,23.753,
2026-09-08T19:19:41.710757+00:00,201,22.403,
2026-09-08T19:19:41.713111+00:00,201,23.051,
2026-09-08T19:19:41.714095+00:00,201,22.933,
2026-09-08T19:19:41.714999+00:00,201,23.227,
2026-09-08T19:19:41.715935+00:00,201,23.448,
2026-09-08T19:19:41.720538+00:00,201,21.759,
2026-09-08T19:19:41.722364+00:00,201,22.981,
