timestamp_iso,status_code,latency_ms,error
2026-09-08T19:36:13.783588+00:00,201,39.36,
2026-09-08T19:36:13.811964+00:00,201,19.894,
2026-09-08T19:36:13.823129+00:00,201,17.943,
2026-09-08T19:36:13.831869+00:00,201,16.451,
2026-09-08T19:36:13.841079+00:00,201,17.349,
2026-09-08T19:36:13.844407+00:00,201,17.636,
2026-09-08T19:36:13.848326+00:00,201,16.698,
2026-09-08T19:36:13.858435+00:00,201,16.418,
2026-09-08T19:36:13.862050+00:00,201,16.545,
2026-09-08T19:36:13.865031+00:00,201,16.837,
2026-09-08T19:36:13.874861+00:00,201,17.295,
2026-09-08T19:36:13.878603+00:00,201,16.886,
2026-09-08T19:36:13.877678+00:00,201,18.912,
2026-09-08T19:36:13.881875+00:00,201,16.449,
2026-09-08T19:36:13.892163+00:00,201,17.13,
2026-09-08T19:36:13.895495+00:00,201,17.299,
2026-09-08T19:36:13.896597+00:00,201,17.584,
2026-09-08T19:36:13.898333+00:00,201,17.773,
2026-09-08T19:36:13.909302+00:00,201,17.651,
2026-09-08T19:36:13.911178+00:00,201,23.202,
2026-09-08T19:36:13.912801+00:00,201,22.596,
2026-09-08T19:36:13.914188+00:00,201,25.389,
2026-09-08T19:36:13.916112+00:00,201,24.286,
2026-09-08T19:36:13.926963+00:00,201,16.992,
2026-09-08T19:36:13.934389+00:00,201,17.003,
2026-09-08T19:36:13.935405+00:00,201,17.227,
2026-09-08T19:36:13.940405+00:00,201,17.627,
2026-09-08T19:36:13.939584+00:00,201,19.201,
2026-09-08T19:36:13.943966+00:00,201,16.563,
2026-09-08T19:36:13.944461+00:00,201,18.135,
2026-09-08T19:36:13.951414+00:00,201,17.175,
2026-09-08T19:36:13.952640+00:00,201,16.751,
2026-09-08T19:36:13.958039+00:00,201,17.431,
2026-09-08T19:36:13.958795+00:00,201,17.411,
2026-09-08T19:36:13.960537+00:00,201,17.023,
2026-09-08T19:36:13.962602+00:00,201,17.73,
2026-09-08T19:36:13.968599+00:00,201,16.938,
2026-09-08T19:36:13.969397+00:00,201,16.832,
2026-09-08T19:36:13.976213+00:00,201,17.729,
2026-09-08T19:36:13.975479+00:00,201,19.321,
2026-09-08T19:36:13.977568+00:00,201,18.117,
2026-09-08T19:36:13.977942+00:00,201,18.784,
2026-09-08T19:36:13.980339+00:00,201,18.512,
2026-09-08T19:36:13.986235+00:00,201,16.423,
2026-09-08T19:36:13.985546+00:00,201,17.762,
2026-09-08T19:36:13.993949+00:00,201,20.003,
2026-09-08T19:36:13.995692+00:00,201,18.939,
2026-09-08T19:36:13.994807+00:00,201,20.504,
2026-09-08T19:36:13.996732+00:00,201,19.942,
2026-09-08T19:36:13.998862+00:00,201,19.055,
2026-09-08T19:36:14.003317+00:00,201,18.246,
2026-09-08T19:36:14.002664+00:00,201,19.553,
2026-09-08T19:36:14.011136+00:00,201,16.719,
2026-09-08T19:36:14.013961+00:00,201,19.031,
2026-09-08T19:36:14.014637+00:00,201,20.274,
2026-09-08T19:36:14.015317+00:00,201,21.509,
2026-09-08T19:36:14.016687+00:00,201,21.504,
2026-09-08T19:36:14.017932+00:00,201,21.018,
2026-09-08T19:36:14.021569+00:00,201,20.441,
2026-09-08T19:36:14.022226+00:00,201,20.513,
2026-09-08T19:36:14.027866+00:00,201,17.942,
2026-09-08T19:36:14.033000+00:00,201,17.634,
2026-09-08T19:36:14.034918+00:00,201,17.927,
2026-09-08T19:36:14.036834+00:00,201,17.804,
2026-09-08T19:36:14.038205+00:00,201,19.977,
2026-09-08T19:36:14.038958+00:00,201,20.312,
2026-09-08T19:36:14.042018+00:00,201,20.071,
2026-09-08T19:36:14.042746+00:00,201,20.273,
2026-09-08T19:36:14.044571+00:00,201,21.519,
2026-09-08T19:36:14.045815+00:00,201,21.018,
2026-09-08T19:36:14.050643+00:00,201,19.087,
2026-09-08T19:36:14.052854+00:00,201,19.52,
2026-09-08T19:36:14.054646+00:00,201,18.44,
2026-09-08T19:36:14.058194+00:00,201,18.282,
2026-09-08T19:36:14.059277+00:00,201,18.699,
2026-09-08T19:36:14.062098+00:00,201,19.457,
2026-09-08T19:36:14.063026+00:00,201,20.076,
2026-09-08T19:36:14.066099+00:00,201,20.113,
2026-09-08T19:36:14.066840+00:00,201,20.175,
2026-09-08T19:36:14.069740+00:00,201,20.307,
2026-09-08T19:36:14.072382+00:00,201,20.777,
2026-09-08T19:36:14.073094+00:00,201,20.812,
2026-09-08T19:36:14.076490+00:00,201,19.934,
2026-09-08T19:36:14.077985+00:00,201,21.319,
2026-09-08T19:36:14.078359+00:00,201,21.689,
2026-09-08T19:36:14.081564+00:00,201,19.84,
2026-09-08T19:36:14.083110+00:00,201,20.313,
2026-09-08T19:36:14.087021+00:00,201,20.156,
2026-09-08T19:36:14.086221+00:00,201,21.87,
2026-09-08T19:36:14.090055+00:00,201,19.911,
2026-09-08T19:36:14.093167+00:00,201,20.146,
2026-09-08T19:36:14.093913+00:00,201,20.48,
2026-09-08T19:36:14.096434+00:00,201,20.061,
2026-09-08T19:36:14.099312+00:00,201,21.379,
2026-09-08T19:36:14.100055+00:00,201,21.569,
2026-09-08T19:36:14.101412+00:00,201,21.075,
2026-09-08T19:36:14.103431+00:00,201,20.222,
2026-09-08T19:36:14.107185+00:00,201,22.589,
2026-09-08T19:36:14.108097+00:00,201,22.812,
2026-09-08T19:36:14.109973+00:00,201,21.545,
2026-09-08T19:36:14.111172+00:00,201,21.771,
2026-09-08T19:36:14.113322+00:00,201,21.23,
2026-09-08T19:36:14.114401+00:00,201,20.962,
2026-09-08T19:36:14.116505+00:00,201,20.784,
2026-09-08T19:36:14.120701+00:00,201,21.691,
2026-09-08T19:36:14.121631+00:00,201,21.443,
2026-09-08T19:36:14.122494+00:00,201,21.225,
2026-09-08T19:36:14.123660+00:00,201,20.904,
2026-09-08T19:36:14.129783+00:00,201,20.88,
2026-09-08T19:36:14.130917+00:00,201,23.248,
